type,difficulty,category,question,correct_answer
boolean,medium,Entertainment: Video Games,Resident Evil 4 was originally meant to be a Nintendo GameCube exclusive.,TRUE
boolean,easy,Entertainment: Video Games,Luigi is taller than Mario?,TRUE
boolean,hard,Entertainment: Video Games,Unturned originally started as a Roblox game.,TRUE
boolean,easy,Entertainment: Video Games,"In Resident Evil 4, the Chicago Typewriter has infinite ammo.",TRUE
boolean,easy,Entertainment: Video Games,"In the Monster Hunter Series, it is possible to capture Elder Dragons.",FALSE
boolean,easy,Entertainment: Video Games,"In Team Fortress 2, being disguised as a scout or medic results in a speed boost.",FALSE
boolean,medium,Entertainment: Video Games,Pistons were added to Minecraft in Beta 1.5.,FALSE
boolean,medium,Entertainment: Video Games,The ADAM collecters in the Bioshock series are known as Little Sisters.,TRUE
boolean,easy,Entertainment: Video Games,"The Konami Code is known as Up, Up, Down, Down, Left, Right, Right, Left, B, A, Start.",FALSE
boolean,medium,Science &amp; Nature,The planet Mars has two moons orbiting it.,TRUE
boolean,medium,Science &amp; Nature,Type 1 diabetes is a result of the liver working improperly.,FALSE
boolean,medium,Science &amp; Nature,Pneumonoultramicroscopicsilicovolcanoconiosis is a synonym for the disease known as silicosis.,TRUE
boolean,medium,Science &amp; Nature,Anatomy considers the forms of macroscopic structures such as organs and organ systems.,TRUE
boolean,medium,Science &amp; Nature,"Like with the Neanderthals, Homo sapiens sapiens also interbred with the Denisovans.",TRUE
boolean,easy,Science &amp; Nature,Igneous rocks are formed by excessive heat and pressure.,FALSE
boolean,medium,Science &amp; Nature,A person can get sunburned on a cloudy day.,TRUE
boolean,hard,Science &amp; Nature,The value of one Calorie is different than the value of one calorie.,TRUE
boolean,hard,Science &amp; Nature,It was once believed that injecting shark cartilage into people would prevent them from contracting cancer.,TRUE
boolean,medium,Science &amp; Nature,A defibrillator is used to start up a heartbeat once a heart has stopped beating.,FALSE
boolean,medium,Science &amp; Nature,Steel is an alloy of Iron and Carbon.,TRUE
boolean,easy,Science &amp; Nature,An atom contains a nucleus.,TRUE
boolean,medium,Science &amp; Nature,The Doppler effect applies to light.,TRUE
boolean,easy,Science &amp; Nature,A plant that has a life cycle for more than a year is known as an annual.,FALSE
boolean,easy,Science &amp; Nature,An Astronomical Unit is the distance between Earth and the Moon.,FALSE
boolean,medium,Science: Computers,All program codes have to be compiled into an executable file in order to be run. This file can then be executed on any machine.,FALSE
boolean,easy,Science: Computers,Linux was first created as an alternative to Windows XP.,FALSE
boolean,easy,Science: Computers,Ada Lovelace is often considered the first computer programmer.,TRUE
boolean,medium,Science: Computers,The last Windows operating system to be based on the Windows 9x kernel was Windows 98.,FALSE
boolean,hard,Science: Computers,DHCP stands for Dynamic Host Configuration Port.,FALSE
boolean,easy,Science: Computers,Pointers were not used in the original C programming language; they were added later on in C++.,FALSE
boolean,easy,Science: Computers,The Windows ME operating system was released in the year 2000.,TRUE
boolean,easy,Science: Computers,RAM stands for Random Access Memory.,TRUE
boolean,easy,Science: Computers,Linus Torvalds created Linux and Git.,TRUE
boolean,medium,Science: Computers,"Linus Sebastian is the creator of the Linux kernel, which went on to be used in Linux, Android, and Chrome OS.",FALSE
boolean,medium,Science: Computers,The HTML5 standard was published in 2014.,TRUE
boolean,easy,Science: Computers,Time on Computers is measured via the EPOX System.,FALSE
boolean,easy,Science: Computers,The Windows 7 operating system has six main editions.,TRUE
boolean,easy,Geography,Tokyo is the capital of Japan.,TRUE
boolean,medium,Geography,Antarctica is the largest desert in the world.,TRUE
boolean,medium,Geography,The Sonoran Desert is located in eastern Africa.,FALSE
boolean,medium,Geography,The capital of the US State Ohio is the city of Chillicothe.,FALSE
boolean,medium,Geography,Is Tartu the capital of Estonia?,FALSE
boolean,hard,Geography,The two largest ethnic groups of Belgium are Flemish and Walloon. ,TRUE
boolean,easy,Geography,Greenland is covered with grass and Iceland covered with ice.,FALSE
boolean,easy,Geography,Nova Scotia is on the east coast of Canada.,TRUE
boolean,easy,Geography,There are no deserts in Europe.,TRUE
boolean,easy,Geography,"Rhode Island is actually located on the US mainland, despite its name.",TRUE
boolean,easy,Geography,California is larger than Japan.,TRUE
boolean,easy,Geography,St. Louis is the capital of the US State Missouri.,FALSE
boolean,medium,Geography,The Southeast Asian island of Borneo is politically divided among 3 countries.,TRUE
boolean,easy,Geography,New Haven is the capital city of the state of Connecticut in the United States.,FALSE
boolean,hard,Geography,"Switzerland has four national languages, English being one of them.",FALSE
boolean,easy,Geography,Vatican City is a country.,TRUE
boolean,medium,Geography,Gothenburg is the capital of Sweden.,FALSE
boolean,easy,Geography,Hungary is the only country in the world beginning with H.,FALSE
boolean,medium,Geography,Japan has left-hand side traffic.,TRUE
boolean,easy,Geography,Alaska is the largest state in the United States.,TRUE
boolean,easy,Geography,San Marino is the only country completely surrounded by another country.,FALSE
boolean,medium,Geography,You could walk from Norway to North Korea while only passing through Russia.,TRUE
boolean,medium,Geography,Seoul is the capital of North Korea.,FALSE
boolean,medium,Geography,Liechtenstein does not have an airport.,TRUE
boolean,easy,Geography,Ottawa is the capital of Canada.,TRUE
boolean,medium,Geography,"There are no roads in/out of Juneau, Alaska.",TRUE
boolean,medium,Geography,The flag of South Africa features 7 colours.,FALSE
boolean,easy,Geography,Greenland is almost as big as Africa.,FALSE
boolean,easy,Geography,Toronto is the capital city of the North American country of Canada.,FALSE
boolean,medium,Geography,"The longest place named in the United States is Lake Chargoggagoggmanchauggagoggchaubunagungamaugg, located near Webster, MA.",TRUE
boolean,medium,Geography,Vietnam is the only country in the world that starts with V. ,FALSE
boolean,easy,Geography,The Republic of Malta is the smallest microstate worldwide.,FALSE
boolean,medium,Geography,The surface area of Russia is slightly larger than that of the dwarf planet Pluto.,TRUE
boolean,hard,Geography,Only one country in the world starts with the letter Q.,TRUE
boolean,easy,Geography,There is a city called Rome in every continent on Earth.,FALSE
boolean,hard,History,The fourth funnel of the RMS Titanic was fake designed to make the ship look more powerful and symmetrical.,TRUE
boolean,medium,History,"Sargon II, a king of the Neo-Assyrian Empire, was a direct descendant of Sargon of Akkad.",FALSE
boolean,easy,History,Former United States Presidents John Adams and Thomas Jefferson died within hours of each other.,TRUE
boolean,hard,History,Japan was part of the Allied Powers during World War I.,TRUE
boolean,easy,History,"In World War ll, Great Britian used inflatable tanks on the ports of Great Britain to divert Hitler away from Normandy/D-day landing.",TRUE
boolean,easy,History,Thomas Crapper was a plumber who invented the flushing toilet.,FALSE
boolean,medium,History,Abraham Lincoln was the first U.S. President to be born outside the borders of the thirteen original states. ,TRUE
boolean,easy,History,Adolf Hitler was tried at the Nuremberg trials.,FALSE
boolean,medium,History,"Sir Issac Newton served as a Member of Parliament, but the only recorded time he spoke was to complain about a draft in the chambers.",TRUE
boolean,medium,History,The M41 Walker Bulldog remains in service in some countries to this day.,TRUE
boolean,hard,History,The Kingdom of Prussia briefly held land in Estonia.,FALSE
boolean,medium,History,"In World War II, Hawker Typhoons served in the Pacific theater.",FALSE
boolean,easy,History,The Tiananmen Square protests of 1989 were held in Hong Kong.,FALSE
boolean,hard,History,"The Battle of Trafalgar took place on October 23rd, 1805",FALSE
boolean,medium,History,Theodore Roosevelt Jr. was the only General involved in the initial assault on D-Day.,TRUE
boolean,medium,History,The first televised presidential debate was between Jimmy Carter and Gerald Ford.,FALSE
boolean,easy,History,The United States Department of Homeland Security was formed in response to the September 11th attacks.,TRUE
